ID (#),Age,Primary Const Code,UTD Giving Total,"AVG Giving 
Over 6 years","Max Prelim Rating vs
Windfall Capacity",Windfall PTG Rating
5815,52,Alumni,$0.00,$0.00,0,51
5816,50,Alumni,$25.00,$4.17,0,51
5817,49,Alumni,$0.00,$0.00,0,51
5818,51,Alumni,$175.00,$29.17,0,51
5819,52,Alumni,$0.00,$0.00,0,51
5820,56,Alumni,$0.00,$0.00,0,51
5821,52,Alumni,$0.00,$0.00,0,51
5822,51,Alumni,$0.00,$0.00,0,51
5823,53,Alumni,$0.00,$0.00,0,51
5824,49,Alumni,$0.00,$0.00,0,51
5825,50,Alumni,$0.00,$0.00,0,51
5826,56,Alumni,$0.00,$0.00,0,51
5827,50,Alumni,$0.00,$0.00,0,51
5828,58,Alumni,$0.00,$0.00,0,51
5829,80,Alumni,$80.00,$13.33,0,51
5830,62,Alumni,$0.00,$0.00,0,51
5831,59,Alumni,$0.00,$0.00,0,51
5832,60,Alumni,$0.00,$0.00,0,51
5833,51,Alumni,$0.00,$0.00,0,51
5834,53,Alumni,$0.00,$0.00,0,51
5835,48,Alumni,$0.00,$0.00,0,51
5836,61,Alumni,$0.00,$0.00,0,51
5837,56,Alumni,$130.00,$21.67,0,51
5838,58,Alumni,$0.00,$0.00,0,51
5839,56,Alumni,$0.00,$0.00,0,51
5840,57,Alumni,$0.00,$0.00,0,51
5841,60,Alumni,$0.00,$0.00,0,51
5842,49,Alumni,$0.00,$0.00,0,51
5843,49,Alumni,$0.00,$0.00,0,51
5844,47,Alumni,$0.00,$0.00,0,51
5845,60,Alumni,$0.00,$0.00,0,51
5846,55,Alumni,$0.00,$0.00,0,51
5847,52,Alumni,$0.00,$0.00,0,51
5848,59,Alumni,$0.00,$0.00,0,51
5849,60,Alumni,$0.00,$0.00,0,51
5850,47,Alumni,$50.00,$8.33,0,51
5851,53,Alumni,$0.00,$0.00,0,51
5852,59,Alumni,$0.00,$0.00,0,51
5853,49,Alumni,$0.00,$0.00,0,51
5854,48,Alumni,$0.00,$0.00,0,51
5855,46,Alumni,$0.00,$0.00,0,51
5856,46,Alumni,$0.00,$0.00,0,51
5857,51,Alumni,$0.00,$0.00,0,51
5858,60,Alumni,$0.00,$0.00,0,51
5859,49,Alumni,$250.00,$41.67,0,51
5860,48,Alumni,$0.00,$0.00,0,51
5861,63,Alumni,$0.00,$0.00,0,51
5862,46,Alumni,$50.00,$8.33,0,51
5863,46,Alumni,$0.00,$0.00,0,51
5864,49,Alumni,$0.00,$0.00,0,51
5865,59,Alumni,$20.00,$3.33,0,51
5866,47,Alumni,$20.00,$3.33,0,51
5867,47,Alumni,$0.00,$0.00,0,51
5868,46,Alumni,$300.00,$50.00,0,51
5869,55,Alumni,$0.00,$0.00,0,51
5870,52,Alumni,$20.00,$3.33,0,51
5871,51,Alumni,$0.00,$0.00,0,51
5872,53,Alumni,$0.00,$0.00,0,51
5873,46,Alumni,$0.00,$0.00,0,51
5874,46,Alumni,$0.00,$0.00,0,51
5875,65,Alumni,$0.00,$0.00,0,51
5876,51,Alumni,$0.00,$0.00,0,51
5877,45,Alumni,$0.00,$0.00,0,51
5878,44,Alumni,$0.00,$0.00,0,51
5879,50,Alumni,$0.00,$0.00,0,51
5880,44,Alumni,$20.00,$3.33,0,51
5881,55,Alumni,$0.00,$0.00,0,51
5882,49,Alumni,$0.00,$0.00,0,51
5883,48,Alumni,$0.00,$0.00,0,51
5884,44,Alumni,$10.00,$1.67,0,51
5885,51,Alumni,$20.00,$3.33,0,51
5886,45,Alumni,$35.00,$5.83,0,51
5887,46,Alumni,$0.00,$0.00,0,51
5888,45,Alumni,$10.00,$1.67,0,51
5889,43,Alumni,$0.00,$0.00,0,51
5890,50,Alumni,$50.00,$8.33,0,51
5891,47,Alumni,$10.00,$1.67,0,51
